,日期,最高温,最低温,天气,风力风向,空气质量指数
0,2022-05-10 周二,25°,8°,多云~阵雨,西南风4级,65 良
1,2022-05-10 周二,16°,3°,小雨~晴,西北风3级,38 优
2,2022-05-10 周二,24°,9°,多云~小雨,西南风4级,46 优
3,2022-05-10 周二,22°,10°,多云~阵雨,西南风3级,56 良
4,2022-05-10 周二,13°,12°,雾~阴,东南风2级,97 良
5,2022-05-10 周二,16°,12°,多云~阴,南风2级,63 良
6,2022-05-10 周二,22°,10°,多云~阴,西南风2级,109 轻度
7,2022-05-10 周二,23°,15°,多云~阴,东北风1级,41 优
8,2022-05-10 周二,22°,13°,多云~浮尘,东北风3级,92 良
9,2022-05-10 周二,25°,10°,多云,东风3级,74 良
10,2022-05-10 周二,17°,6°,多云~阴,东风2级,44 优
11,2022-05-10 周二,27°,14°,多云~晴,北风2级,55 良
12,2022-05-10 周二,20°,9°,多云~阵雨,西南风2级,31 优
13,2022-05-10 周二,29°,18°,多云~中雨,南风2级,52 良
14,2022-05-10 周二,28°,20°,多云~阴,东风2级,42 优
15,2022-05-10 周二,19°,14°,雾~阴,西南风2级,66 良
16,2022-05-10 周二,21°,12°,晴~多云,南风2级,48 优
17,2022-05-10 周二,17°,16°,雾~阴,东北风3级,48 优
18,2022-05-10 周二,19°,15°,多云~阴,东风2级,47 优
19,2022-05-10 周二,19°,15°,雾~阴,东北风3级,46 优
20,2022-05-10 周二,20°,16°,小雨~阴,东风1级,62 良
21,2022-05-10 周二,21°,20°,小雨,东北风1级,30 优
22,2022-05-10 周二,19°,18°,中雨~阴,北风3级,32 优
23,2022-05-10 周二,20°,15°,中雨~阴,西北风3级,47 优
24,2022-05-10 周二,24°,14°,多云~阵雨,东北风2级,25 优
25,2022-05-10 周二,27°,22°,小雨~中雨,东南风2级,26 优
26,2022-05-10 周二,31°,25°,多云,东南风3级,27 优
27,2022-05-10 周二,21°,18°,多云~阴,东南风3级,31 优
28,2022-05-10 周二,27°,23°,小雨~暴雨,东南风3级,29 优
29,2022-05-10 周二,25°,15°,多云,西南风2级,31 优
30,2022-05-10 周二,28°,24°,阴~小雨,西南风2级,8 优
